cohort,elapsed,success,count,length
132702001,0.218188123,1,361,120860
132702002,0.044145856,1,626,326982
132702003,0.100218508,1,585,194020
132703001,0.147927901,1,328,109952
132703002,0.031105734,1,620,336750
132703003,0.321387715,1,6,1582
132797001,4.136281333,1,9017,3077062
132797002,0.612074342,1,16118,8623761
132797003,50.166190769,1,5170,58487
133169001,0.18058067,1,535,175060
133169002,0.040692706,1,904,461116
133444001,1.685283307,1,5025,1685787
133444002,0.274960596,1,9011,4778942
133834001,0.496656145,1,1461,468757
133834002,0.109048916,1,2579,1321954
133834003,0.078748982,1,1461,468757
133834005,0.101820493,1,1461,468757
133834006,0.123295981,1,2356,1214453
133834007,1.506402562,1,81,51377
133834008,0.419180222,1,23,11324
133834009,0.462396954,1,1,100
133834010,0.014755726,1,0,0
133834011,0.018588416,1,0,0
133834012,0.031605527,1,0,0
133834013,0.02539497,1,0,0
134442001,0.487235026,1,1715,582640
134442002,0.144372187,1,3051,1613985
134442003,0.313326234,1,1031,335216
134442004,0.084349243,1,1715,582640
134442005,0.105836583,1,2684,900092
136774001,0.054937317,1,127,42501
136774002,0.021496623,1,216,110851
137977001,0.018938339,1,0,0
137977002,0.019173392,1,0,0
138379001,0.91669369,1,2787,942531
138379002,0.224320714,1,4926,2593455
138379003,0.311245296,1,4926,2593455
138502001,0.245314278,1,749,248001
138502002,0.05483806,1,1297,671764
138502003,0.045107942,1,749,248001
138994001,0.99718948,1,4068,1415664
138994002,0.288454769,1,7507,4122046
139803001,0.01924717,1,10,3513
139803002,0.021146898,1,16,8410
139803003,0.057117895,1,24,71
139803004,0.087400154,1,3,13
139803005,0.076264039,1,95,293
139803006,0.920825694,1,25,69
139803007,0.129810247,1,1383,2732
139899001,0.168965019,1,578,194123
139899002,0.060758331,1,999,521821
140168001,0.754527485,1,3170,1073209
140168002,0.203636823,1,5833,3146140
140168003,0.863769706,1,3170,1073209
140168004,5.48469541,1,3112,1050493
140168005,0.62942043,1,0,0
140168006,0.385846328,1,5732,3092844
140168007,4.702985024,1,890,563945
140168008,1.649501912,1,361,221398
140168009,0.236705389,1,4720,2534001
140168010,0.103064607,1,514,284371
140168011,0.3495333,1,66,46162
140168012,0.343514052,1,42,27288
140352001,0.361549923,1,1260,416530
140352002,0.101071332,1,2115,1075018
140673001,8.804711195,1,20049,7381622
140673002,2.936127275,1,55144,35367238
141232001,0.389512642,1,1827,599997
141232002,0.117705189,1,3215,1664634
141456001,0.0145257,1,0,0
141456002,0.010650275,1,0,0
141933001,0.108284661,1,811,261095
141933002,0.060163286,1,1418,731607
141933003,1.44276936,1,2561,844624
192359001,7.24701885,1,16851,5936633
192359002,1.592766174,1,36140,21301313
192671001,1.750358795,1,10140,3512602
192671002,0.665929244,1,18802,10275717
192671003,10.141188748,1,1395,11276
192671004,3.006463151,1,1238,10008
192671005,1.789142971,1,1238,10008
192675001,0.256571956,1,617,210744
192675002,0.055127141,1,1068,561453
192675003,0.469526759,1,617,210744
192675004,0.100385849,1,13,4902
193782001,4.017292495,1,10406,3490656
193782002,0.778393745,1,18932,10225355
193782004,867.407958011,1,6533,3643088
193782005,1050.667672368,1,6894,3797126
194133001,5.261182681,1,18386,6631761
194133002,1.724843872,1,44810,27591105
194702001,0.039615363,1,5,1155
194702002,0.013567458,1,8,3709
194702003,0.050846702,1,5,13
194992001,0.10635675,1,742,246901
194992002,0.053026986,1,1258,645300
196523001,1.650943567,1,10186,3495072
196523002,0.630304471,1,18937,10304713
196523003,0.581845261,1,10500,3610138
196523004,0.673691256,1,19661,10745069
196523005,0.864243017,1,23432,30894
197320001,0.825248389,1,4463,1543454
197320002,0.228112908,1,7660,4028437
197320003,3.231918189,1,122,588
197320004,2.820526564,1,260,8020
197494001,0.812337966,1,3254,1116979
197494002,0.188348679,1,5833,3136468
197494003,0.336626641,1,6564,3508284
197494004,0.588166213,1,8282,4381267
197494005,5.697960457,1,43,28475
197494006,0.390788345,1,6779,3627697
197494007,2.179997452,1,5,3214
197494008,2.152070455,1,18,12906
197494009,2.138778456,1,26,16454
197494010,0.52488592,1,7505,3947913
197494011,2.247356124,1,43,28475
197508001,1.839702847,1,5011,1702065
197508002,0.376632826,1,9070,4863205
198571001,0.166554734,1,724,249610
198571002,0.052926023,1,1224,624969
198571003,0.247565118,1,257,4520
198984001,0.066770869,1,183,68677
198984002,0.022996334,1,328,179954
198985001,0.501579952,1,2204,753008
198985002,0.131497242,1,3792,1985445
199074001,0.737952072,1,2842,982921
199074002,0.182925677,1,4966,2635510
199074003,1.570307904,1,662,5323
200219001,12.88171721,1,18975,6917899
200219002,3.036809346,1,47285,29337601
200762001,0.06500798,1,168,57615
200762002,0.031146091,1,255,123900
200762003,6.589528605,1,168,57615
200762004,0.115502623,1,1,236
200762005,0.050553085,1,1,236
201214001,0.021675116,1,22,6706
201214002,0.019239216,1,39,20310
201254001,1.465731886,1,10784,3775650
201254002,1.145940034,1,21881,12545646
201254003,2.40414472,1,13380,4771795
201340001,2.026454735,1,10443,3601354
201340002,1.144279421,1,20134,11159896
201606001,0.391557525,1,1772,600312
201606002,0.167693952,1,3111,1638626
201606003,0.630271798,1,1772,600312
201606004,1.029023687,1,9,3708
201606005,0.15544407,1,3111,1638626
201606006,1.547897309,1,2,1248
201606007,2.546717746,1,0,0
201606008,2.392317425,1,60,42379
201606009,10.035761282,1,153,95032
201606010,1.676616055,1,292,164317
201620001,1.054262799,1,5497,1852295
201620002,0.30195234,1,9937,5281446
201826001,6.795932752,1,13890,5146991
201826002,3.806350667,1,67400,49425607
201826003,13.542714219,1,69578,52119419
201826004,13.422577939,1,12631,4626260
201826005,41.564059711,1,18780,7419901
201826006,489.109789235,1,0,0
201826007,523.650214498,1,18657,7394896
201826008,8.019148968,1,8861,3341735
24134001,0.02972075,1,0,0
24134002,0.010640922,1,0,0
24134003,0.008520896,1,0,0
24609001,0.101885397,1,2058,697601
24609002,0.113004341,1,3624,1922234
24609003,0.163554118,1,3861,1311058
254443001,0.062451449,1,1086,356130
254443002,0.064829917,1,1799,913361
254443003,0.05131549,1,1086,356130
254443004,0.052563191,1,1086,356130
254761001,0.02875447,1,0,0
254761002,0.010225069,1,0,0
254761003,0.166265046,1,3638,15321
255573001,0.618269456,1,12475,4392504
255573002,0.920294573,1,25948,15065919
255573003,2.15714751,1,5266,41235
255573004,2.473912893,1,24608,15270915
255848001,0.450334594,1,9083,3138323
255848002,0.589402603,1,16932,9261439
255848003,3.739325035,1,842,10352
255848004,0.728317923,1,20288,199441
257007001,0.593700839,1,12152,4218271
257007002,0.92082071,1,25891,15037113
257628001,0.137268298,1,2318,804137
257628002,0.160906732,1,4159,2248800
257628003,0.107139844,1,2358,817104
257628004,0.155955466,1,4159,2248800
257628005,0.177933108,1,4873,2629089
257628006,0.110504481,1,2710,930805
257628007,0.881100184,1,301,205654
257628008,1.055214063,1,253,177810
257628009,1.328323063,1,481,276263
257628010,0.172949757,1,4159,2248800
257628011,46.874929388,1,0,0
257628012,46.479547751,1,0,0
257628013,7.901174476,1,14,9275
257628014,7.128127085,1,5,3315
27918001,0.04016833,1,529,172352
27918002,0.040517502,1,931,483486
27918003,0.082521307,1,3,1289
30753001,0.385362577,1,8977,3059466
30753002,0.553551114,1,16965,9295036
312327001,0.350628335,1,7054,2395549
312327002,0.442651633,1,12448,6566324
312327003,12.222262504,1,2529,25930
312327004,0.792621318,1,14677,302898
312437001,0.909827382,1,17658,6335305
312437002,1.459417471,1,40483,24355442
312437003,2.824573138,1,74198,413575
312939001,0.050517759,1,0,0
312939002,0.009528232,1,0,0
31317001,0.456772444,1,10765,3721342
31317002,0.660308511,1,19554,10547687
31317003,0.522312999,1,10765,3721342
313217001,1.258229018,1,19832,7129303
313217002,1.970600538,1,52185,33264161
313217003,643.852807501,1,12189,93579
313217004,17.964738206,1,16015,112137
313217005,1800.350608835,0,0,0
313217006,1.241296624,1,19832,7129303
313217007,389.061860168,1,36403,26752201
313223001,0.030350143,1,0,0
313223002,0.011499038,1,0,0
313459001,0.408109832,1,8927,3057916
313459002,0.569264744,1,15897,8438137
313800001,0.022017601,1,0,0
313800002,0.012833493,1,0,0
313800003,0.166199593,1,2118,3619
314381001,0.023153668,1,0,0
314381002,0.015618793,1,0,0
314381003,0.054955808,1,39,156
314381004,0.013645349,1,0,0
314383001,0.188481461,1,3812,1288537
314383002,0.215884665,1,6914,3699580
314383003,0.139676258,1,159,91958
314383004,0.13571508,1,23,13814
316139001,1.433034936,1,19006,6854940
316139002,2.452379268,1,49726,31522961
316139003,550.523446582,1,14393,123060
316139004,1800.009647686,0,0,0
316866001,0.408236886,1,8574,2930009
316866002,0.604698122,1,16287,8940362
316866003,1.839356345,1,42090,25628068
317009001,0.83928012,1,14092,4938370
317009002,1.203023095,1,28698,16454088
317009003,1.716881845,1,3466,24208
317009004,5.228255517,1,20616,12566842
317009005,6.520802014,1,43734,27013766
317009006,4.408255015,1,20616,12566842
317576001,1.569891108,1,17858,6644231
317576002,2.439231041,1,57658,38805536
318443001,1.846851419,1,16881,6338234
318443002,2.907609175,1,61093,42276988
318736001,0.406834866,1,7984,2752100
318736002,0.540049199,1,14983,8228526
318736003,0.391178792,1,7984,2752100
318800001,0.95182425,1,18687,6650988
318800002,1.431026268,1,40378,23679181
319041001,0.142855265,1,2471,833186
319041002,0.144261402,1,4247,2220050
319049001,0.512951011,1,10703,3639471
319049002,0.729536511,1,18847,9966283
319049003,0.540197947,1,10703,3639471
31967001,0.575600244,1,12002,4186323
31967002,0.904074294,1,23301,13014384
31967003,1.266048625,1,32434,48782
320749001,0.049503078,1,409,134613
320749002,0.038893592,1,703,360651
321042001,0.136593136,1,2384,814998
321042002,0.15205644,1,3906,1972728
321052001,1.734893728,1,19153,7134747
321052002,2.62428598,1,55887,36626200
321318001,0.403531833,1,7632,2638722
321318002,0.54303517,1,14682,8135405
321318003,2.191853708,1,51727,33097815
321318004,6.260045371,1,1322,8146
321588001,5.484450278,1,11660,4263368
321588002,7.051110668,1,72809,55572704
321588003,7.094281283,1,72855,55632275
36712702001,0.053532293,1,0,0
36712702002,0.014560501,1,0,0
372328001,0.139288186,1,2523,834495
372328002,0.162167428,1,4560,2433685
37311061001,0.018157467,1,0,0
37311061002,0.015061301,1,0,0
37311061003,0.091262455,1,0,0
37311061004,4.022524311,1,0,0
37311061005,0.117727704,1,0,0
373503001,0.319390602,1,6598,2236345
373503002,0.451339606,1,12177,6591741
373503003,3.955618944,1,806,6477
374021001,0.019737835,1,4,968
374021002,0.015863226,1,7,3455
374021003,0.051931968,1,9,92
374021004,0.0504638,1,0,0
374021005,0.060051074,1,13,121
374028001,0.660047691,1,11939,4086011
374028002,0.933731042,1,23060,12807017
374366001,0.304587252,1,6206,2073115
374366002,0.418308692,1,11065,5818407
374377001,0.426992312,1,8476,2929026
374377002,0.601025756,1,15674,8560322
374919001,0.023938733,1,0,0
374919002,0.014999182,1,0,0
374919003,0.016221819,1,0,0
374919004,0.091010375,1,0,0
374954001,0.042613117,1,541,176852
374954002,0.048442503,1,901,453291
374954003,0.17680823,1,20,11209
375806001,0.338689589,1,7378,2503437
375806002,0.490417034,1,13237,7071412
376713001,0.027794858,1,6,2012
376713002,0.019362065,1,10,4106
376713003,0.229384418,1,65,825
376713004,0.112703053,1,2021,21572
