cohort,elapsed,success,count,length
132702001,1.837447622,1,361,120860
132702002,1.634613376,1,626,326982
132702003,1.409611191,1,585,194020
132703001,1.405285978,1,328,109952
132703002,1.309410675,1,620,336750
132703003,1.889508971,1,6,1582
132797001,1.6773231,1,9017,3077062
132797002,1.807645555,1,16118,8623761
132797003,3.040163644,1,5170,58487
133169001,1.538494887,1,535,175060
133169002,1.539575547,1,904,461116
133444001,1.58101908,1,5025,1685787
133444002,1.336638168,1,9011,4778942
133834001,1.411082723,1,1461,468757
133834002,1.586464141,1,2579,1321954
133834003,1.700512559,1,1461,468757
133834005,1.404471126,1,1461,468757
133834006,1.068368707,1,2356,1214453
133834007,2.339509551,1,81,51377
133834008,9.344153706,1,23,11324
133834009,10.907849365,1,1,100
133834010,1.241179076,1,0,0
133834011,0.747417989,1,0,0
133834012,2.142296394,1,0,0
133834013,2.737391456,1,0,0
134442001,1.611152463,1,1715,582640
134442002,1.289007565,1,3051,1613985
134442003,1.607796753,1,1031,335216
134442004,1.323363028,1,1715,582640
134442005,1.415022003,1,2684,900092
136774001,1.234631431,1,127,42501
136774002,1.301836001,1,216,110851
137977001,1.4061246,1,2,330
137977002,1.245535887,1,2,330
138379001,1.453539332,1,2736,925421
138379002,1.455243984,1,4852,2560056
138379003,1.554541235,1,4852,2560056
138502001,1.56870581,1,749,248001
138502002,1.596940627,1,1297,671764
138502003,1.396282366,1,749,248001
138994001,1.536292121,1,4068,1415664
138994002,1.37021638,1,7507,4122046
139803001,1.267307705,1,10,3513
139803002,1.442546222,1,16,8410
139803003,1.178593387,1,24,71
139803004,2.409361253,1,3,13
139803005,1.191958036,1,95,293
139803006,2.63186748,1,25,69
139803007,1.25799457,1,1383,2732
139899001,1.381680036,1,578,194123
139899002,1.504937702,1,999,521821
140168001,1.428025317,1,3170,1073209
140168002,1.476350157,1,5833,3146140
140168003,1.591560875,1,3170,1073209
140168004,5.861034002,1,3112,1050493
140168005,2.476302181,1,0,0
140168006,1.265845342,1,5732,3092844
140168007,3.871504222,1,890,563945
140168008,4.853082956,1,361,221398
140168009,1.2724913,1,4720,2534001
140168010,1.077969615,1,514,284371
140168011,2.356568805,1,66,46162
140168012,2.474547698,1,42,27288
140352001,1.277950652,1,1134,374221
140352002,1.402836757,1,1907,971519
140673001,1.561784033,1,20049,7381622
140673002,1.849763483,1,55144,35367238
141232001,1.298991239,1,1827,599997
141232002,1.468704655,1,3215,1664634
141456001,1.16280803,1,0,0
141456002,1.178435259,1,0,0
141933001,1.36209199,1,811,261095
141933002,1.299568238,1,1418,731607
141933003,2.091771488,1,2561,844624
192359001,1.533692863,1,14895,5174762
192359002,1.656715986,1,30161,17286718
192671001,1.585471491,1,11035,3847432
192671002,1.42010429,1,20960,11596630
192671003,3.118366796,1,1743,14119
192671004,1.882169219,1,1238,10008
192671005,1.882293879,1,1238,10008
192675001,1.445722514,1,617,210744
192675002,1.5373204,1,1068,561453
192675003,1.815016463,1,617,210744
192675004,1.643842946,1,13,4902
193782001,1.567137759,1,10406,3490656
193782002,1.671555561,1,18932,10225355
193782004,3.179110194,1,5734,3258140
193782005,3.46389352,1,6370,3604752
194133001,1.546456288,1,18386,6631761
194133002,1.567188246,1,44810,27591105
194702001,1.366760446,1,5,1155
194702002,1.280940417,1,8,3709
194702003,1.230187761,1,5,13
194992001,1.429417539,1,742,246901
194992002,1.545706692,1,1258,645300
196523001,1.60946002,1,10186,3495072
196523002,2.286840971,1,18937,10304713
196523003,2.079557106,1,10500,3610138
196523004,2.327893439,1,19661,10745069
196523005,3.033287457,1,23432,30894
197320001,1.759200871,1,3566,1237660
197320002,1.727925917,1,5975,3104229
197320003,4.113572744,1,122,588
