cohort,elapsed,success,count,length
132702001,0.04972238,1,4,1867
132702002,0.023392154,1,5,2775
132702003,0.026195791,1,6,2676
132703001,0.02661918,1,5,1841
132703002,0.027507204,1,8,4617
132703003,0.04622491,1,0,0
132797001,0.039255439,1,107,46339
132797002,0.029959428,1,163,96253
132797003,0.045240669,1,42,390
133169001,0.027306205,1,8,2928
133169002,0.028186626,1,12,6279
133444001,0.030534636,1,53,22342
133444002,0.029059248,1,88,51058
133834001,0.028510495,1,11,4372
133834002,0.029012469,1,20,12200
133834003,0.007185308,1,11,4372
133834005,0.028627887,1,11,4372
133834006,0.005022228,1,18,10777
133834007,0.006178202,1,1,754
133834008,0.750143268,1,0,0
133834009,1.051141367,1,0,0
133834010,0.00447282,1,22,14654
133834011,0.007551973,1,0,0
133834012,0.788952689,1,0,0
133834013,1.028560223,1,0,0
134442001,0.026179404,1,28,11850
134442002,0.027157516,1,38,20814
134442003,0.030014595,1,13,5386
134442004,0.030458443,1,28,11850
134442005,0.027176774,1,40,16711
136774001,0.027227164,1,3,603
136774002,0.026904826,1,4,1523
137977001,0.028390627,1,15,5767
137977002,0.028126384,1,22,11797
138379001,0.029150207,1,37,13139
138379002,0.029614951,1,60,33852
138379003,0.020206479,1,60,33852
138502001,0.026341076,1,12,4600
138502002,0.028795965,1,20,11273
138502003,0.007077719,1,12,4600
138994001,0.027901529,1,43,18369
138994002,0.027697577,1,90,60348
139803001,0.027240207,1,0,0
139803002,0.026950073,1,0,0
139803003,0.025021614,1,0,0
139803004,0.034739358,1,0,0
139803005,0.025450225,1,2,4
139803006,0.042283513,1,0,0
139803007,0.026976253,1,12,25
139899001,0.02795061,1,9,4119
139899002,0.027409193,1,11,5409
140168001,0.029159287,1,13,4004
140168002,0.028721145,1,15,5474
140168003,0.031716314,1,13,4004
140168004,0.691807679,1,13,4004
140168005,0.03648215,1,0,0
140168006,0.005182594,1,15,5474
140168007,0.069281571,1,0,0
140168008,0.071074841,1,0,0
140168009,0.004524321,1,3,1114
140168010,0.005536456,1,1,356
140168011,0.00930806,1,0,0
140168012,0.008525175,1,0,0
140352001,0.028447487,1,12,4549
140352002,0.026906071,1,21,12530
140673001,0.035789243,1,226,107018
140673002,0.035813438,1,550,393936
141232001,0.028764882,1,16,7271
141232002,0.028019096,1,31,20353
141456001,0.028372707,1,1,544
141456002,0.025889179,1,2,1383
141933001,0.029331101,1,14,6184
141933002,0.028593814,1,17,9254
141933003,0.178885051,1,46,21863
192359001,0.033940505,1,187,84519
192359002,0.035567983,1,409,277100
192671001,0.059328898,1,132,59622
192671002,0.043523906,1,242,155835
192671003,0.174429696,1,34,272
192671004,0.040893565,1,37,296
192671005,0.039875771,1,37,296
192675001,0.02809203,1,6,2675
192675002,0.029350764,1,15,10966
192675003,0.030534507,1,6,2675
192675004,0.051111521,1,0,0
193782001,0.030961693,1,117,47632
193782002,0.029717861,1,209,128411
193782004,1.470039956,1,44,30409
193782005,2.732438982,1,48,32296
194133001,0.032915552,1,190,82554
194133002,0.03372698,1,442,302874
194702001,0.029164277,1,0,0
194702002,0.02792869,1,0,0
194702003,0.027759345,1,0,0
194992001,0.026591195,1,7,3178
194992002,0.028177492,1,10,5800
196523001,0.029331351,1,102,39437
196523002,0.030806725,1,178,106462
196523003,0.012118746,1,108,42229
196523004,0.032097059,1,185,110234
196523005,0.028894817,1,231,314
197320001,0.031360525,1,140,58648
197320002,0.033135628,1,229,133183
197320003,0.275498396,1,20,317
197320004,0.04378776,1,51,1735
197494001,0.028210348,1,28,11637
197494002,0.027722148,1,52,33232
197494003,0.031288756,1,52,33232
197494004,0.031476317,1,52,33232
197494005,0.172655182,1,0,0
197494006,0.027927992,1,57,37156
197494007,0.177567645,1,0,0
197494008,0.182518905,1,0,0
197494009,0.189654175,1,0,0
197494010,0.004590016,1,44,29472
197494011,0.18306042,1,0,0
197508001,0.0284881,1,58,22993
197508002,0.029970319,1,106,65947
198571001,0.030215338,1,6,2391
198571002,0.029100695,1,10,5278
198571003,0.013763455,1,2,33
198984001,0.028607803,1,5,1321
198984002,0.031280857,1,9,4904
198985001,0.02888971,1,26,12094
198985002,0.031408339,1,36,21408
199074001,0.029747784,1,26,11830
199074002,0.029060018,1,44,27357
199074003,0.041036634,1,5,40
200219001,0.0373443,1,229,103821
200219002,0.036596423,1,493,336162
200762001,0.028624124,1,1,583
200762002,0.028073981,1,1,583
200762003,0.054789418,1,1,583
200762004,0.050372315,1,0,0
200762005,0.048454864,1,0,0
201214001,0.026945753,1,0,0
201214002,0.028736384,1,0,0
201254001,0.031039831,1,109,48039
201254002,0.032004955,1,204,131009
201254003,0.030971893,1,145,67301
201340001,0.034868006,1,130,53559
201340002,0.03146561,1,206,118919
201606001,0.028817299,1,21,8966
201606002,0.028056429,1,33,18899
201606003,0.040525011,1,21,8966
201606004,0.057817382,1,0,0
201606005,0.005804501,1,33,18899
201606006,0.014762961,1,0,0
201606007,0.017199995,1,0,0
201606008,0.043233422,1,1,857
201606009,0.04237624,1,1,416
201606010,0.071102181,1,2,1112
201620001,0.027683154,1,57,25644
201620002,0.028675046,1,107,69779
201826001,0.037220861,1,168,77300
201826002,0.040788924,1,672,539413
201826003,0.155708287,1,696,569126
201826004,0.04069834,1,160,72642
201826005,0.879635568,1,228,113594
201826006,6.293244934,1,0,0
201826007,2.062167955,1,213,108137
201826008,0.470692115,1,118,56661
24134001,0.030340387,1,156,67269
24134002,0.032048836,1,285,179250
24134003,0.008694241,1,156,67269
24609001,0.026566191,1,24,10965
24609002,0.026152893,1,39,23632
24609003,0.030448885,1,46,21423
254443001,0.028010093,1,18,7716
254443002,0.028084447,1,23,11376
254443003,0.028742532,1,18,7716
254443004,0.028287702,1,18,7716
254761001,0.034592762,1,185,80820
254761002,0.033845141,1,331,209140
254761003,0.037217453,1,477,2222
255573001,0.035610841,1,213,94521
255573002,0.036467123,1,505,357591
255573003,0.088021449,1,25,193
255573004,0.395651076,1,443,325641
255848001,0.038478994,1,158,69454
255848002,0.035871444,1,332,222403
255848003,0.033944477,1,65,655
255848004,0.016806522,1,634,7168
257007001,0.029525656,1,136,62751
257007002,0.030716227,1,273,183111
257628001,0.028648142,1,22,9701
257628002,0.029181581,1,38,23229
257628003,0.029245169,1,23,9869
257628004,0.007296828,1,38,23229
257628005,0.007941904,1,43,25928
257628006,0.007779766,1,26,11439
257628007,0.008615156,1,6,4291
257628008,0.009444931,1,5,3392
257628009,0.00816231,1,7,3078
257628010,0.006180338,1,38,23229
257628011,0.061161379,1,1,194
257628012,0.02169901,1,1,194
257628013,0.502008656,1,1,194
257628014,0.226577889,1,1,194
27918001,0.026633343,1,3,947
27918002,0.026071654,1,6,3548
27918003,0.0486049,1,0,0
30753001,0.03853738,1,104,43725
30753002,0.041027535,1,178,105316
312327001,0.036973943,1,83,34573
312327002,0.032358097,1,133,77666
312327003,0.02258056,1,22,180
312327004,0.017339839,1,151,3201
312437001,0.04959724,1,182,82670
312437002,0.039690909,1,405,276017
312437003,0.018159615,1,762,4530
312939001,0.027928569,1,6,2613
312939002,0.029427482,1,8,4281
31317001,0.032521067,1,106,44685
31317002,0.032855023,1,189,117445
31317003,0.032773867,1,106,44685
313217001,0.034123495,1,209,91132
313217002,0.036572189,1,521,367414
313217003,0.046590479,1,109,824
313217004,0.571831083,1,140,986
313217005,0.443215603,1,509,425568
313217006,0.025982253,1,209,91132
313217007,0.203941322,1,369,295370
313223001,0.072297872,1,9,4212
313223002,0.052188195,1,15,9905
313459001,0.043400339,1,0,0
313459002,0.035766569,1,0,0
313800001,0.046023297,1,6,2187
313800002,0.034027435,1,9,4638
313800003,0.034556245,1,27,29
314381001,0.034340652,1,6,2794
314381002,0.038682224,1,8,4902
314381003,0.04547135,1,8,32
314381004,0.021134569,1,0,0
314383001,0.044451749,1,41,18490
314383002,0.05724829,1,72,45764
314383003,0.028365163,1,2,1617
314383004,0.021306575,1,0,0
316139001,0.06159695,1,206,91105
316139002,0.05814181,1,489,343324
316139003,0.035564827,1,126,948
316139004,0.041081302,1,270,540
316866001,0.073911562,1,103,51254
316866002,0.082367421,1,755,654292
316866003,0.054997297,1,762,661220
317009001,0.041346392,1,145,60724
317009002,0.037644351,1,273,173614
317009003,0.106299735,1,8,110
317009004,6.63110923,1,126,94831
317009005,7.309140779,1,572,421449
317009006,5.376970369,1,126,94831
317576001,0.053274737,1,213,100417
317576002,0.060320259,1,575,421928
318443001,0.063062139,1,201,95682
318443002,0.057342957,1,608,461391
318736001,0.047053543,1,83,36606
318736002,0.037219755,1,142,88245
318736003,0.016370407,1,83,36606
318800001,0.048378234,1,203,86691
318800002,0.046234362,1,400,255712
319041001,0.033456752,1,26,12470
319041002,0.041590994,1,37,21551
319049001,0.039420775,1,130,58623
319049002,0.041243079,1,191,110510
319049003,0.038408812,1,133,60141
31967001,0.039790362,1,138,57521
31967002,0.041321423,1,239,147756
31967003,0.038603612,1,345,526
320749001,0.045290551,1,3,1404
320749002,0.036411846,1,5,3371
321042001,0.036765116,1,23,11472
321042002,0.040173454,1,38,23506
321052001,0.078540732,1,191,93029
321052002,0.058721729,1,605,465904
321318001,0.040501467,1,141,60293
321318002,0.035963428,1,269,175036
321318003,0.040857173,1,544,395138
321318004,0.04684505,1,21,126
321588001,0.094024568,1,152,75971
321588002,0.073388321,1,735,617798
321588003,0.087094464,1,735,618502
36712702001,0.041922227,1,0,0
36712702002,0.050947534,1,0,0
372328001,0.055630556,1,52,23676
372328002,0.052706181,1,79,48292
37311061001,0.010570561,1,0,0
37311061002,0.006044918,1,0,0
37311061003,1.737260621,1,0,0
37311061004,2.131409985,1,0,0
