cohort,elapsed,success,count,length
132702001,1.309769866,1,4,1867
132702002,0.421461447,1,5,2775
132702003,0.53884597,1,6,2676
132703001,0.42980454,1,5,1841
132703002,0.290491249,1,8,4617
132703003,5.721560462,1,0,0
132797001,0.384927781,1,107,46339
132797002,0.441633703,1,163,96253
132797003,10.814625085,1,42,390
133169001,0.340547766,1,8,2928
133169002,0.294143204,1,12,6279
133444001,0.520492166,1,53,22342
133444002,0.315443379,1,88,51058
133834001,0.350488997,1,11,4372
133834002,0.306708843,1,20,12200
133834003,0.552377628,1,11,4372
133834005,0.337630435,1,11,4372
133834006,0.377463175,1,18,10777
133834007,1.172403997,1,1,754
133834008,6.286003701,1,0,0
133834009,5.455331877,1,0,0
133834010,0.274384561,1,22,14654
133834011,0.303213553,1,0,0
133834012,5.520944124,1,0,0
133834013,5.32719516,1,0,0
134442001,0.677593312,1,28,11850
134442002,0.307003882,1,38,20814
134442003,0.40617867,1,13,5386
134442004,0.388058884,1,28,11850
134442005,0.368570049,1,40,16711
136774001,0.302627667,1,3,603
136774002,0.386660063,1,4,1523
137977001,0.307235042,1,15,5767
137977002,0.266654502,1,22,11797
138379001,0.329404563,1,36,12855
138379002,0.462319094,1,59,33568
138379003,7.422541534,1,59,33568
138502001,0.299242115,1,12,4600
138502002,0.276446626,1,20,11273
138502003,0.580783695,1,12,4600
138994001,0.29319635,1,43,18369
138994002,0.281516953,1,90,60348
139803001,0.284909172,1,0,0
139803002,0.444141767,1,0,0
139803003,0.721537612,1,0,0
139803004,0.665246645,1,0,0
139803005,0.255360171,1,2,4
139803006,5.025491015,1,0,0
139803007,0.438737815,1,12,25
139899001,0.435474665,1,9,4119
139899002,0.443058348,1,11,5409
140168001,0.456676934,1,13,4004
140168002,0.445828692,1,15,5474
140168003,6.004508609,1,13,4004
140168004,2.841106031,1,13,4004
140168005,5.494275709,1,0,0
140168006,0.458254617,1,15,5474
140168007,10.818464947,1,0,0
140168008,0.997530413,1,0,0
140168009,0.552999293,1,3,1114
140168010,0.553338499,1,1,356
140168011,5.350465024,1,0,0
140168012,0.735288434,1,0,0
140352001,0.541684559,1,11,4070
140352002,0.447345882,1,20,12051
140673001,0.431533551,1,226,107018
