cohort,elapsed,success,count,length
132702001,0.031193257,1,4,1867
132702002,0.010896562,1,5,2775
132702003,0.006815699,1,6,2676
132703001,0.006461415,1,5,1841
132703002,0.006437171,1,8,4617
132703003,0.013302661,1,0,0
132797001,0.018473648,1,107,46339
132797002,0.01703366,1,163,96253
132797003,0.025580389,1,42,390
133169001,0.008922011,1,8,2928
133169002,0.007937822,1,12,6279
133444001,0.008936816,1,53,22342
133444002,0.013068406,1,88,51058
133834001,0.010661317,1,11,4372
133834002,0.006474046,1,20,12200
133834003,0.006591488,1,11,4372
133834005,0.007015208,1,11,4372
133834006,0.008682295,1,18,10777
133834007,0.008832746,1,1,754
133834008,0.006573338,1,0,0
133834009,0.006557573,1,0,0
133834010,0.006505273,1,22,14654
133834011,0.008768904,1,0,0
133834012,0.004602463,1,0,0
133834013,0.004464592,1,0,0
134442001,0.004344165,1,28,11850
134442002,0.008587029,1,38,20814
134442003,0.008541284,1,13,5386
134442004,0.008684085,1,28,11850
134442005,0.010714312,1,40,16711
136774001,0.008631017,1,3,603
136774002,0.006764855,1,4,1523
137977001,0.006502637,1,15,5767
137977002,0.008853609,1,22,11797
138379001,0.010933127,1,37,13139
138379002,0.010779637,1,60,33852
138379003,0.015070041,1,60,33852
138502001,0.008718676,1,12,4600
138502002,0.008915411,1,20,11273
138502003,0.006544454,1,12,4600
138994001,0.010711196,1,43,18369
138994002,0.017526611,1,90,60348
139803001,0.008582794,1,0,0
139803002,0.002491532,1,0,0
139803003,0.002278925,1,0,0
139803004,0.004699602,1,0,0
139803005,0.004360854,1,2,4
139803006,0.00665401,1,0,0
139803007,0.004303179,1,12,25
139899001,0.006607348,1,9,4119
139899002,0.006532287,1,11,5409
140168001,0.006509111,1,13,4004
140168002,0.008622557,1,15,5474
140168003,0.008816567,1,13,4004
140168004,0.145871074,1,13,4004
140168005,0.010753432,1,0,0
140168006,0.006546509,1,15,5474
140168007,0.015173954,1,0,0
140168008,0.015012277,1,0,0
140168009,0.004321389,1,3,1114
140168010,0.00850939,1,1,356
140168011,0.008814734,1,0,0
140168012,0.006574571,1,0,0
140352001,0.004376522,1,12,4549
140352002,0.008733797,1,21,12530
140673001,0.02985301,1,226,107018
140673002,0.044700108,1,550,393936
141232001,0.029800502,1,16,7271
141232002,0.008907535,1,31,20353
141456001,0.006539689,1,1,544
141456002,0.006576125,1,2,1383
141933001,0.008025608,1,14,6184
141933002,0.008657321,1,17,9254
141933003,0.025615422,1,46,21863
192359001,0.029825522,1,187,84519
192359002,0.03834349,1,409,277100
192671001,0.031789276,1,132,59622
192671002,0.021085859,1,242,155835
192671003,0.032117427,1,34,272
192671004,0.021212566,1,37,296
192671005,0.021366251,1,37,296
192675001,0.006637911,1,6,2675
192675002,0.006510062,1,15,10966
192675003,0.010781416,1,6,2675
192675004,0.006701883,1,0,0
193782001,0.012826535,1,117,47632
193782002,0.021495302,1,209,128411
193782004,0.054382258,1,44,30409
193782005,0.055001394,1,48,32296
194133001,0.023250345,1,190,82554
194133002,0.03604817,1,442,302874
194702001,0.021380018,1,0,0
194702002,0.00238145,1,0,0
194702003,0.002249758,1,0,0
194992001,0.004445725,1,7,3178
194992002,0.006612126,1,10,5800
196523001,0.013050608,1,102,39437
196523002,0.019105503,1,178,106462
196523003,0.019316403,1,108,42229
196523004,0.019075998,1,185,110234
196523005,0.023319089,1,231,314
197320001,0.023621474,1,140,58648
197320002,0.021604694,1,229,133183
197320003,0.257214639,1,20,317
197320004,0.02987956,1,51,1735
197494001,0.011129976,1,28,11637
197494002,0.011367189,1,52,33232
197494003,0.011451251,1,52,33232
197494004,0.012825143,1,52,33232
197494005,0.036512628,1,0,0
197494006,0.009409105,1,57,37156
197494007,0.02999121,1,0,0
197494008,0.025869796,1,0,0
197494009,0.021648106,1,0,0
197494010,0.00640462,1,44,29472
197494011,0.035611011,1,0,0
197508001,0.010984652,1,58,22993
197508002,0.014930109,1,106,65947
198571001,0.013011908,1,6,2391
198571002,0.006518162,1,10,5278
198571003,0.010891037,1,2,33
198984001,0.006585311,1,5,1321
198984002,0.008734123,1,9,4904
198985001,0.008830496,1,26,12094
198985002,0.008594216,1,36,21408
199074001,0.01083001,1,26,11830
199074002,0.008793749,1,44,27357
199074003,0.017163248,1,5,40
200219001,0.036138464,1,229,103821
200219002,0.062666884,1,493,336162
200762001,0.036014274,1,1,583
200762002,0.00716975,1,1,583
200762003,0.02499157,1,1,583
200762004,0.006550612,1,0,0
200762005,0.017021868,1,0,0
201214001,0.004418131,1,0,0
201214002,0.002286066,1,0,0
201254001,0.010604679,1,109,48039
201254002,0.01925368,1,204,131009
201254003,0.034127913,1,145,67301
201340001,0.019190627,1,130,53559
201340002,0.019325552,1,206,118919
201606001,0.015043994,1,21,8966
201606002,0.00873176,1,33,18899
201606003,0.010680233,1,21,8966
201606004,0.012987966,1,0,0
201606005,0.004321925,1,33,18899
201606006,0.015049705,1,0,0
201606007,0.006532724,1,0,0
201606008,0.02773785,1,1,857
201606009,0.026472645,1,1,416
201606010,0.017042284,1,2,1112
201620001,0.008769407,1,57,25644
201620002,0.012811269,1,107,69779
201826001,0.054642036,1,168,77300
201826002,0.071953436,1,672,539413
201826003,0.142628741,1,696,569126
201826004,0.087230299,1,160,72642
201826005,0.213403768,1,228,113594
201826006,0.869830587,1,0,0
201826007,0.327284268,1,213,108137
201826008,0.229305561,1,118,56661
24134001,0.027720169,1,156,67269
24134002,0.027738286,1,285,179250
24134003,0.030508604,1,156,67269
24609001,0.014947251,1,24,10965
24609002,0.011154177,1,39,23632
24609003,0.010689432,1,46,21423
254443001,0.008696573,1,18,7716
254443002,0.008756677,1,23,11376
254443003,0.008714318,1,18,7716
254443004,0.008710463,1,18,7716
254761001,0.021121065,1,185,80820
254761002,0.042360612,1,331,209140
254761003,0.04253338,1,477,2222
255573001,0.058919919,1,213,94521
255573002,0.060905727,1,505,357591
255573003,0.069173439,1,25,193
255573004,0.066171071,1,443,325641
255848001,0.04430515,1,158,69454
255848002,0.031990084,1,332,222403
255848003,0.040544497,1,65,655
255848004,0.037921379,1,634,7168
257007001,0.040297917,1,136,62751
257007002,0.024022004,1,273,183111
257628001,0.019274378,1,22,9701
257628002,0.008565514,1,38,23229
257628003,0.008898883,1,23,9869
257628004,0.008893029,1,38,23229
257628005,0.011042045,1,43,25928
257628006,0.01292529,1,26,11439
257628007,0.010836153,1,6,4291
257628008,0.010825162,1,5,3392
257628009,0.010904885,1,7,3078
257628010,0.00868459,1,38,23229
257628011,0.021310582,1,1,194
257628012,0.01940819,1,1,194
257628013,0.078462553,1,1,194
257628014,0.064815168,1,1,194
27918001,0.006600244,1,3,947
27918002,0.006623984,1,6,3548
27918003,0.006650465,1,0,0
30753001,0.010674313,1,104,43725
30753002,0.017061454,1,178,105316
312327001,0.019313115,1,83,34573
312327002,0.017362493,1,133,77666
312327003,0.021328666,1,22,180
312327004,0.025027284,1,151,3201
312437001,0.038358095,1,182,82670
312437002,0.046287022,1,405,276017
312437003,0.071096254,1,762,4530
312939001,0.036194527,1,6,2613
312939002,0.006631948,1,8,4281
31317001,0.012849167,1,106,44685
31317002,0.019259362,1,189,117445
31317003,0.019015975,1,106,44685
313217001,0.038229525,1,209,91132
313217002,0.049661652,1,521,367414
313217003,0.084101071,1,109,824
313217004,0.139201253,1,140,986
313217005,0.141319309,1,509,425568
313217006,0.048672727,1,209,91132
313217007,0.15448914,1,369,295370
313223001,0.021894165,1,9,4212
313223002,0.006554572,1,15,9905
313459001,0.004404219,1,0,0
313459002,0.002639826,1,0,0
313800001,0.00440109,1,6,2187
313800002,0.006531262,1,9,4638
313800003,0.008637875,1,27,29
314381001,0.008735146,1,6,2794
