cohort,elapsed,success,count,length
132702001,0.039206208,1,4,1867
132702002,0.023419414,1,5,2775
132702003,0.025924891,1,6,2676
132703001,0.078471351,1,5,1841
132703002,0.060437784,1,8,4617
132703003,0.039936388,1,0,0
132797001,0.083273736,1,107,46339
132797002,0.070119916,1,163,96253
132797003,0.149850871,1,42,390
133169001,0.021462784,1,8,2928
133169002,0.019418067,1,12,6279
133444001,0.075827477,1,53,22342
133444002,0.06907371,1,88,51058
133834001,0.023462621,1,11,4372
133834002,0.026080948,1,20,12200
133834003,0.031190162,1,11,4372
133834005,0.08612823,1,11,4372
133834006,0.028737352,1,18,10777
133834007,0.036078381,1,1,754
133834008,0.054456804,1,0,0
133834009,0.056562176,1,0,0
133834010,0.024581518,1,22,14654
133834011,0.031270278,1,0,0
133834012,0.031916513,1,0,0
133834013,0.031902069,1,0,0
134442001,0.024640643,1,28,11850
134442002,0.025639798,1,38,20814
134442003,0.022948798,1,13,5386
134442004,0.02589984,1,28,11850
134442005,0.067162978,1,40,16711
136774001,0.023689643,1,3,603
136774002,0.020399759,1,4,1523
137977001,0.020076582,1,15,5767
137977002,0.025681667,1,22,11797
138379001,0.08526501,1,37,13139
138379002,0.088842675,1,60,33852
138379003,0.085031138,1,60,33852
138502001,0.023549964,1,12,4600
138502002,0.019290293,1,20,11273
138502003,0.021656955,1,12,4600
138994001,0.025580185,1,43,18369
138994002,0.031781343,1,90,60348
139803001,0.029400364,1,0,0
139803002,0.020579366,1,0,0
139803003,0.019787511,1,0,0
139803004,0.027316315,1,0,0
139803005,0.023230353,1,2,4
139803006,0.025753748,1,0,0
139803007,0.019468139,1,12,25
139899001,0.019369295,1,9,4119
139899002,0.028792775,1,11,5409
140168001,0.058868379,1,13,4004
140168002,0.08658823,1,15,5474
140168003,0.073277062,1,13,4004
140168004,0.144231004,1,13,4004
140168005,0.074816606,1,0,0
140168006,0.022047054,1,15,5474
140168007,0.026154089,1,0,0
140168008,0.026105507,1,0,0
140168009,0.017295659,1,3,1114
140168010,0.03176041,1,1,356
140168011,0.059218695,1,0,0
140168012,0.107713329,1,0,0
140352001,0.055239602,1,12,4549
140352002,0.060441392,1,21,12530
140673001,0.067135923,1,226,107018
140673002,0.102914017,1,550,393936
141232001,0.078164117,1,16,7271
141232002,0.066626198,1,31,20353
141456001,0.026200162,1,1,544
141456002,0.024978759,1,2,1383
141933001,0.024243178,1,14,6184
141933002,0.033984147,1,17,9254
141933003,0.040711597,1,46,21863
192359001,0.093836985,1,187,84519
192359002,0.086929324,1,409,277100
192671001,0.097328566,1,132,59622
192671002,0.080980547,1,242,155835
192671003,0.120166142,1,34,272
192671004,0.051292087,1,37,296
192671005,0.057369157,1,37,296
192675001,0.019665007,1,6,2675
192675002,0.01946638,1,15,10966
192675003,0.030812489,1,6,2675
192675004,0.023588821,1,0,0
193782001,0.065694213,1,117,47632
193782002,0.074839726,1,209,128411
193782004,0.155385701,1,44,30409
193782005,0.214977659,1,48,32296
194133001,0.080918627,1,190,82554
194133002,0.099008211,1,442,302874
194702001,0.038186104,1,0,0
194702002,0.013171622,1,0,0
194702003,0.017169334,1,0,0
194992001,0.017769692,1,7,3178
194992002,0.019396358,1,10,5800
196523001,0.034034073,1,102,39437
