cohort,elapsed,success,count,length
132702001,84.425690862,1,8273,2758843
132702002,90.851699656,1,14155,7332967
132702003,91.938311526,1,13598,4497289
132703001,90.29775857,1,8392,2813218
132703002,90.454665163,1,14763,7756608
132703003,84.54528972,1,132,45833
132797001,94.175047065,1,208313,71177134
132797002,95.348835506,1,373020,199697016
132797003,187.990663228,1,595291,3386184
133169001,90.225137911,1,12020,3971316
133169002,89.356694931,1,20369,10454311
133444001,96.669362008,1,115478,38788831
133444002,92.768164091,1,209351,111753370
133834001,89.570413017,1,34260,11289115
133834002,90.615063361,1,60573,31700477
133834003,4.317858474,1,34260,11289115
133834005,90.99413054,1,34260,11289115
133834006,1.966407253,1,55261,28922584
133834007,1.237312588,1,1883,1229439
133834008,3.874116576,1,541,291093
133834009,4.426548885,1,0,0
133834010,0.03086806,1,0,0
133834011,0.032563617,1,0,0
133834012,0.871246029,1,0,0
133834013,1.075886192,1,0,0
134442001,89.999439965,1,41495,14190955
134442002,87.406285172,1,71925,37678166
134442003,84.757472825,1,24606,8059966
134442004,86.236480133,1,41495,14190955
134442005,93.697144455,1,64415,21752473
136774001,86.617506071,1,2906,970271
136774002,90.355443749,1,4992,2578457
137977001,86.97836366,1,14,4711
137977002,86.005649882,1,18,7553
138379001,85.932114015,1,63699,21761235
138379002,83.711547088,1,113836,60903276
138379003,9.437942366,1,113836,60903276
138502001,83.433820229,1,18123,5882362
138502002,78.313273339,1,31378,16157434
138502003,2.374988069,1,18123,5882362
138994001,82.169291529,1,93701,32310754
138994002,81.652882893,1,173799,95369559
139803001,77.046520597,1,216,73510
139803002,76.889984885,1,371,196229
139803003,76.649506145,1,602,1547
139803004,67.071393824,1,602,1547
139803005,74.811145628,1,2157,7129
139803006,99.173688872,1,34040,67526
139803007,68.910540997,1,34040,67526
139899001,77.846099299,1,12699,4214566
139899002,78.155424375,1,21962,11417149
140168001,67.130303589,1,22921,7615527
140168002,73.631809306,1,39994,20921886
140168003,72.487752957,1,22921,7615527
140168004,91.369510968,1,22588,7495764
140168005,3.354144876,1,0,0
140168006,1.664614586,1,35734,18688242
140168007,2.133169482,0,0,0
140168008,2.578349896,0,0,0
140168009,0.244753453,1,6029,3072019
140168010,0.774743971,1,673,360956
140168011,3.724860768,1,6,4129
140168012,1.279491882,1,6,3022
140352001,76.75448299,1,26208,8816808
140352002,79.222497551,1,44620,23071746
140673001,86.82946678,1,464554,172467503
140673002,91.226538213,1,1284178,825957690
141232001,78.147223694,1,43156,14431204
141232002,78.07792955,1,76307,40086941
141456001,74.303601011,1,0,0
141456002,72.954626434,1,0,0
141933001,79.66202582,1,18270,5941301
141933002,73.041987826,1,31724,16336261
141933003,101.632411633,1,60318,19797199
192359001,83.516250664,1,338919,118102363
192359002,84.325233342,1,683268,391779523
192671001,87.452436406,1,257192,89240568
192671002,84.849627506,1,491037,271803272
192671003,129.425552544,1,744552,6527524
192671004,164.351243943,1,594345,5167983
192671005,211.225052775,1,594345,5167983
192675001,85.366403008,1,14121,4755540
192675002,83.24134615,1,24200,12530794
192675003,10.683773863,1,14121,4755540
192675004,90.216119712,1,207,87199
193782001,88.914843622,1,243176,82165459
193782002,90.302356543,1,438825,236916776
193782004,1279.942376006,1,147179,80523888
193782005,1896.257581271,0,0,0
194133001,89.839246312,1,425601,154194173
194133002,94.077860899,1,1045054,646830398
194702001,81.956654139,1,101,32095
194702002,81.153822338,1,168,84726
194702003,83.087643944,1,102,353
194992001,81.061890279,1,16159,5423067
194992002,81.462277727,1,27895,14521782
196523001,84.385763782,1,236719,81410955
196523002,86.699589687,1,442046,241683468
196523003,39.999682467,1,244268,84167129
196523004,93.10515467,1,458962,251813568
196523005,92.952613824,1,547846,725178
197320001,84.852718742,1,51823,17652205
197320002,88.962805398,1,86134,43985724
197320003,313.643432056,1,129017,331640
197320004,128.162314883,1,93436,2901281
197494001,85.91384192,1,70786,24404852
197494002,87.198219461,1,129160,70073114
197494003,87.28701036,1,153170,82486021
197494004,86.472728558,1,192524,101944558
197494005,355.463942289,1,0,0
197494006,84.015476816,1,158128,85234508
197494007,350.807542917,1,0,0
197494008,1.995210691,0,0,0
197494009,1.461472654,0,0,0
197494010,26.655349988,1,173938,91278839
197494011,1.421954251,0,0,0
197508001,84.970510544,1,116777,39644935
197508002,88.256747319,1,210460,112764314
198571001,83.190891553,1,16180,5567582
198571002,85.802640925,1,27410,14153567
198571003,22.387368261,1,28025,310525
198984001,85.081572189,1,4239,1475514
198984002,86.655381121,1,7613,4065450
198985001,77.338141191,1,49304,16919732
198985002,84.150718585,1,87294,46571122
199074001,80.525093422,1,63920,21809416
199074002,73.074762516,1,111534,58750546
199074003,138.17409461,1,121185,1009283
200219001,83.463404194,1,443735,161903782
200219002,92.614008463,1,1109859,691009436
200762001,75.54392212,1,3862,1270108
200762002,78.539282243,1,5899,2811270
200762003,150.449392411,1,3862,1270108
200762004,72.792891054,1,39,14159
200762005,72.254388041,1,41,15351
201214001,72.862071002,1,476,158476
201214002,74.240700825,1,793,403740
201254001,72.961823136,1,248513,87232191
