cohort,elapsed,success,count,length
132702001,3.806649551,1,8273,2758843
132702002,0.941120053,1,14155,7332967
132702003,2.898857312,1,13598,4497289
132703001,3.558940441,1,8392,2813218
132703002,0.926677519,1,14763,7756608
132703003,8.675892985,1,132,45833
132797001,92.474363525,1,208313,71177134
132797002,16.221906749,1,373020,199697016
132797003,111.176107429,1,595291,3386184
133169001,4.549232922,1,12020,3971316
133169002,1.256916442,1,20369,10454311
133444001,44.968935058,1,115478,38788831
133444002,9.366253706,1,209351,111753370
133834001,10.954007154,1,34260,11289115
133834002,2.684919555,1,60573,31700477
133834003,2.213771123,1,34260,11289115
133834005,2.046096601,1,34260,11289115
133834006,3.023225508,1,55261,28922584
133834007,36.674038129,1,1883,1229439
133834008,9.815769686,1,541,291093
133834009,11.236431145,1,0,0
133834010,0.381717614,1,0,0
133834011,0.812791122,1,0,0
133834012,1.374096226,1,0,0
133834013,1.622167379,1,0,0
134442001,10.540946676,1,41495,14190955
134442002,3.152712255,1,71925,37678166
134442003,6.937287381,1,24606,8059966
134442004,2.571235447,1,41495,14190955
134442005,3.505679484,1,64415,21752473
136774001,1.207450419,1,2906,970271
136774002,0.771389094,1,4992,2578457
137977001,0.442966476,1,14,4711
137977002,0.367874298,1,18,7553
138379001,20.659588267,1,63699,21761235
138379002,4.740824076,1,113836,60903276
138379003,16.117276114,1,113836,60903276
138502001,5.259034258,1,18123,5882362
138502002,1.523799163,1,31378,16157434
138502003,1.446275046,1,18123,5882362
138994001,28.76020842,1,93701,32310754
138994002,8.011648639,1,173799,95369559
139803001,0.537633579,1,216,73510
139803002,0.374710614,1,371,196229
139803003,1.16324994,1,602,1547
139803004,1.977744522,1,602,1547
139803005,1.52736824,1,2157,7129
139803006,24.181153643,1,34040,67526
139803007,2.426004726,1,34040,67526
139899001,4.179458726,1,12699,4214566
139899002,1.26610698,1,21962,11417149
140168001,6.101073889,1,22921,7615527
140168002,2.29257385,1,39994,20921886
140168003,5.53047947,1,22921,7615527
140168004,9.362137696,1,22588,7495764
140168005,1.450934793,1,0,0
140168006,3.407384088,1,35734,18688242
140168007,49.801765527,1,35734,18695616
140168008,17.467358668,1,35734,18695616
140168009,1.603627137,1,6029,3072019
140168010,1.253351097,1,673,360956
140168011,2.739612369,1,6,4129
140168012,1.56388341,1,6,3022
140352001,5.478939154,1,26208,8816808
140352002,2.085229553,1,44620,23071746
140673001,178.862865087,1,464554,172467503
140673002,87.140056999,1,1284178,825957690
141232001,9.082202565,1,43156,14431204
141232002,3.073704824,1,76307,40086941
141456001,0.422704785,1,0,0
141456002,0.365296276,1,0,0
141933001,2.759329999,1,18270,5941301
141933002,1.512876359,1,31724,16336261
141933003,8.933424539,1,60318,19797199
192359001,109.570324432,1,338919,118102363
192359002,28.617109451,1,683268,391779523
192671001,50.12307391,1,257192,89240568
192671002,16.431480695,1,491037,271803272
192671003,85.652385058,1,744552,6527524
192671004,92.600440903,1,594345,5167983
192671005,70.333111607,1,594345,5167983
192675001,4.973128875,1,14121,4755540
192675002,1.237266515,1,24200,12530794
192675003,11.195792528,1,14121,4755540
192675004,2.157866079,1,207,87199
193782001,68.116492543,1,243176,82165459
193782002,45.074328511,1,438825,236916776
193782004,806.640061645,1,147179,80523888
193782005,1413.611888375,1,164871,89762583
194133001,83.642133493,1,425601,154194173
194133002,45.413241795,1,1045054,646830398
194702001,0.980690055,1,101,32095
194702002,0.36067123,1,168,84726
194702003,1.133542016,1,102,353
194992001,3.167808894,1,16159,5423067
194992002,1.396645306,1,27895,14521782
196523001,45.458482902,1,236719,81410955
196523002,15.087774722,1,442046,241683468
196523003,11.966198482,1,244268,84167129
196523004,15.614690983,1,458962,251813568
196523005,18.851304188,1,547846,725178
