cohort,elapsed,success,count,length
132702001,10.749750627,1,8273,2758843
132702002,10.590468902,1,14155,7332967
132702003,10.955019979,1,13598,4497289
132703001,10.710908021,1,8392,2813218
132703002,10.576493947,1,14763,7756608
132703003,37.981850608,1,132,45833
132797001,13.226091852,1,208313,71177134
132797002,18.229873207,1,373020,199697016
132797003,46.978771356,1,595291,3386184
133169001,13.712763159,1,12020,3971316
133169002,10.917037386,1,20369,10454311
133444001,10.56500986,1,115478,38788831
133444002,10.554362114,1,209351,111753370
133834001,10.421507931,1,34260,11289115
133834002,10.622861531,1,60573,31700477
133834003,10.448167322,1,34260,11289115
133834005,10.666587055,1,34260,11289115
133834006,7.646493281,1,55261,28922584
133834007,24.311356104,1,1883,1229439
133834008,39.811839707,1,541,291093
133834009,42.687075716,1,0,0
133834010,8.074472793,1,0,0
133834011,23.723135936,1,0,0
133834012,23.995339489,1,0,0
133834013,24.469167677,1,0,0
134442001,10.316440041,1,41495,14190955
134442002,11.064247587,1,71925,37678166
134442003,11.16109805,1,24606,8059966
134442004,10.687764792,1,41495,14190955
134442005,10.606655212,1,64415,21752473
136774001,10.410272005,1,2906,970271
136774002,10.344464308,1,4992,2578457
137977001,10.799809745,1,14,4711
137977002,10.315647649,1,18,7553
138379001,12.791575884,1,63699,21761235
138379002,10.995853738,1,113836,60903276
138379003,15.473053356,1,113836,60903276
138502001,10.54685431,1,18123,5882362
138502002,10.55999808,1,31378,16157434
138502003,10.58211911,1,18123,5882362
138994001,12.623064439,1,93701,32310754
138994002,11.188645483,1,173799,95369559
139803001,11.785884426,1,216,73510
139803002,10.654022644,1,371,196229
139803003,9.687381394,1,602,1547
139803004,23.179446551,1,602,1547
139803005,9.58548387,1,2157,7129
139803006,23.830076384,1,34040,67526
139803007,9.511807518,1,34040,67526
139899001,10.396081619,1,12699,4214566
139899002,10.345848207,1,21962,11417149
140168001,10.485720774,1,22921,7615527
140168002,10.576950834,1,39994,20921886
140168003,20.097490898,1,22921,7615527
140168004,112.307183969,1,22588,7495764
140168005,37.496315541,1,0,0
140168006,8.155782513,1,35734,18688242
140168007,171.72313598,1,35734,18695616
140168008,181.623794128,1,35734,18695616
140168009,7.867688054,1,6029,3072019
140168010,8.007594945,1,673,360956
140168011,25.247342793,1,6,4129
140168012,25.530083586,1,6,3022
140352001,10.388875217,1,26208,8816808
140352002,10.491406469,1,44620,23071746
140673001,10.898018239,1,464554,172467503
140673002,11.68252997,1,1284178,825957690
141232001,10.640425183,1,43156,14431204
141232002,10.433129676,1,76307,40086941
141456001,10.367765297,1,0,0
141456002,10.266232249,1,0,0
141933001,10.353129682,1,18270,5941301
141933002,10.479995921,1,31724,16336261
141933003,37.595827781,1,60318,19797199
192359001,10.918386838,1,338919,118102363
192359002,11.081304805,1,683268,391779523
192671001,10.837990574,1,257192,89240568
192671002,10.557650322,1,491037,271803272
192671003,31.475632013,1,744552,6527524
192671004,21.910419999,1,594345,5167983
192671005,22.939555844,1,594345,5167983
192675001,10.401840873,1,14121,4755540
192675002,10.546928494,1,24200,12530794
192675003,39.775152695,1,14121,4755540
192675004,37.074409715,1,207,87199
193782001,10.724214319,1,243176,82165459
193782002,10.597958894,1,438825,236916776
193782004,47.851188355,1,130788,73052091
193782005,49.261990425,1,145181,80942709
194133001,10.746440727,1,425601,154194173
194133002,11.647534097,1,1045054,646830398
194702001,10.692477912,1,101,32095
194702002,10.422911123,1,168,84726
194702003,9.667251742,1,102,353
194992001,11.212165746,1,16159,5423067
194992002,11.427402336,1,27895,14521782
196523001,13.05820211,1,236719,81410955
196523002,11.981394028,1,442046,241683468
196523003,10.856235347,1,244268,84167129
196523004,11.643499051,1,458962,251813568
196523005,8.214900724,1,547846,725178
197320001,10.751523438,1,51823,17652205
197320002,10.548532338,1,86134,43985724
197320003,61.818087361,1,129038,331685
197320004,24.479894602,1,93436,2901281
197494001,10.450525244,1,70786,24404852
197494002,10.652557174,1,129160,70073114
197494003,8.18278166,1,153170,82486021
197494004,8.223607543,1,192524,101944558
197494005,134.606174495,1,0,0
197494006,8.145006911,1,158128,85234508
197494007,137.526138529,1,0,0
197494008,219.4444845,1,0,0
197494009,222.949846811,1,0,0
197494010,8.226472215,1,173938,91278839
197494011,220.428749951,1,0,0
197508001,10.55144645,1,116777,39644935
197508002,10.596843954,1,210460,112764314
198571001,10.304441865,1,16180,5567582
198571002,10.499045252,1,27410,14153567
198571003,22.476863331,1,28025,310525
198984001,10.391101039,1,4239,1475514
198984002,10.365224774,1,7613,4065450
198985001,10.514547286,1,49304,16919732
198985002,10.778216573,1,87294,46571122
199074001,10.483292396,1,63920,21809416
199074002,10.378623398,1,111534,58750546
199074003,24.44374474,1,121185,1009283
200219001,11.976756864,1,443735,161903782
200219002,11.415664234,1,1109859,691009436
200762001,11.655504064,1,3862,1270108
200762002,10.394821603,1,5899,2811270
200762003,22.462775297,1,3862,1270108
200762004,36.88030639,1,39,14159
200762005,37.288414538,1,41,15351
201214001,10.379817638,1,476,158476
201214002,10.513457177,1,793,403740
201254001,10.458982943,1,248513,87232191
201254002,10.818747722,1,498159,284044977
201254003,10.690265191,1,310980,110801083
201340001,10.672525535,1,242807,84223525
201340002,10.625149324,1,469375,261396497
201606001,10.340506237,1,40704,13834065
201606002,10.652237638,1,70549,36961436
201606003,17.967059686,1,40704,13834065
201606004,38.222716082,1,193,83564
201606005,7.982972789,1,70549,36961436
201606006,78.003318094,1,12,9542
201606007,25.865947538,1,0,0
201606008,106.907181022,1,11021,5836156
201606009,70.409166511,1,1087,930793
201606010,138.994793239,1,70549,36984137
201620001,10.472224392,1,128817,43803502
201620002,10.579917373,1,231757,123519500
201826001,11.612140092,1,317484,118959146
201826002,14.782662905,1,1572893,1158118611
201826003,24.374610686,1,1620200,1218106393
201826004,31.64454761,1,288547,106912206
201826005,61.486970991,1,432122,172804136
201826006,234.958790236,1,0,0
201826007,87.535163574,1,434370,173183687
201826008,72.12454328,1,200924,76499750
24134001,11.230182268,1,452,102008
24134002,10.862345467,1,482,113358
24134003,11.734904313,1,0,0
24609001,12.143552514,1,48935,16655375
24609002,11.884006166,1,85174,44812340
