cohort,elapsed,success,count,length
132702001,17.791693416,1,8273,2758843
132702002,17.56686938,1,14155,7332967
132702003,17.910617548,1,13598,4497289
132703001,18.025621892,1,8392,2813218
132703002,17.761633674,1,14763,7756608
132703003,21.289752676,1,132,45833
132797001,18.562579323,1,208313,71177134
132797002,18.584182347,1,373020,199697016
132797003,48.838882618,1,595291,3386184
133169001,18.10264529,1,12020,3971316
133169002,17.958336497,1,20369,10454311
133444001,18.816236614,1,115478,38788831
133444002,19.517494988,1,209351,111753370
133834001,19.466993601,1,34260,11289115
133834002,18.289178573,1,60573,31700477
133834003,18.143188026,1,34260,11289115
133834005,18.183437945,1,34260,11289115
133834006,13.645039304,1,55261,28922584
133834007,45.954144498,1,1883,1229439
133834008,241.169514778,1,541,291093
133834009,234.160722048,1,0,0
133834010,13.141806176,1,0,0
133834011,7.42823136,1,0,0
133834012,15.335072329,1,0,0
133834013,22.412813774,1,0,0
134442001,17.720310578,1,41495,14190955
134442002,17.99422885,1,71925,37678166
134442003,17.819925439,1,24606,8059966
134442004,17.857062994,1,41495,14190955
134442005,18.110391591,1,64415,21752473
136774001,17.602955021,1,2906,970271
136774002,17.550191782,1,4992,2578457
137977001,17.978430923,1,14,4711
137977002,17.786428077,1,18,7553
138379001,17.916026131,1,63699,21761235
138379002,20.333058646,1,113836,60903276
138379003,21.149458144,1,113836,60903276
138502001,19.284546231,1,18123,5882362
138502002,17.782364326,1,31378,16157434
138502003,18.081870019,1,18123,5882362
138994001,17.957665809,1,93701,32310754
138994002,18.012303089,1,173799,95369559
139803001,18.312726186,1,216,73510
139803002,17.660734894,1,371,196229
139803003,13.224893524,1,602,1547
139803004,41.342418796,1,602,1547
139803005,13.451099965,1,2157,7129
139803006,43.347402692,1,34040,67526
139803007,13.733565054,1,34040,67526
139899001,17.573645297,1,12699,4214566
139899002,17.719007991,1,21962,11417149
140168001,17.87860519,1,22921,7615527
140168002,18.346481808,1,39994,20921886
140168003,18.455919299,1,22921,7615527
140168004,103.065522208,1,22588,7495764
140168005,24.614888419,1,0,0
140168006,13.645041488,1,35734,18688242
140168007,67.974540318,1,35734,18695616
140168008,72.344079215,1,35734,18695616
140168009,13.256171912,1,6029,3072019
140168010,13.346981321,1,673,360956
140168011,12.701387436,1,6,4129
140168012,40.469233813,1,6,3022
140352001,18.692686641,1,26208,8816808
140352002,17.735878357,1,44620,23071746
140673001,18.926600061,1,464554,172467503
140673002,20.623071914,1,1284178,825957690
141232001,18.440262624,1,43156,14431204
141232002,18.003913995,1,76307,40086941
141456001,18.869052395,1,0,0
141456002,18.701725777,1,0,0
141933001,19.686147326,1,18270,5941301
141933002,17.627053035,1,31724,16336261
141933003,25.093832421,1,60318,19797199
192359001,18.713747741,1,338919,118102363
192359002,19.185943015,1,683268,391779523
192671001,18.254794865,1,257192,89240568
192671002,18.871945278,1,491037,271803272
192671003,47.386123191,1,744552,6527524
192671004,20.898071715,1,594345,5167983
192671005,25.40894397,1,594345,5167983
